	Rank	Country	Gold	Silver	Bronze	Total_Medals,
0	1	United_States	39	41	33	113,
1	2	China	38	32	18	88,
2	3	Japan	27	14	17	58,
3	4	United_Kingdom	22	21	22	65,
4	5	Russia	20	28	23	71,
5	6	Australia	17	7	22	46,
6	7	Netherlands	10	12	14	36,
7	8	France	10	12	11	33,
8	9	Germany	10	11	16	37,
9	10	Italy	10	10	20	40,
10	11	Canada	7	6	11	24,
11	12	Brazil	7	6	8	21,
12	13	New_Zealand	7	6	7	20,
13	14	Cuba	7	3	5	15,
14	15	Hungary	6	7	7	20,
15	16	Korea	6	4	10	20,
16	17	Poland	4	5	5	14,
17	18	Czech_Republic	4	4	3	11,
18	19	Kenya	4	4	2	10,
19	20	Norway	4	2	2	8,
20	21	Jamaica	4	1	4	9,
21	22	Spain	3	8	6	17,
22	23	Sweden	3	6	0	9,
23	24	Switzerland	3	4	6	13,
24	25	Denmark	3	4	4	11,
25	26	Croatia	3	3	2	8,
26	27	Iran	3	2	2	7,
27	28	Serbia	3	1	5	9,
28	29	Belgium	3	1	3	7,
29	30	Bulgaria	3	1	2	6,
30	31	Slovenia	3	1	1	5,
31	32	Uzbekistan	3	0	2	5,
32	33	Georgia	2	5	1	8,
33	34	Taiwan	2	4	6	12,
34	35	Turkey	2	2	9	13,
35	36	Greece	2	1	1	4,
36	36	Uganda	2	1	1	4,
37	38	Ecuador	2	1	0	3,
38	39	Israel	2	0	2	4,
39	39	Ireland	2	0	2	4,
40	41	Qatar	2	0	1	3,
41	42	Bahamas	2	0	0	2,
42	42	Kosovo	2	0	0	2,
43	44	Ukraine	1	6	12	19,
44	45	Belarus	1	3	3	7,
45	46	Venezuela	1	3	0	4,
46	46	Romania	1	3	0	4,
47	48	India	1	2	4	7,
48	49	Hong_Kong	1	2	3	6
49	50	Philippines	1	2	1	4,
50	50	Slovakia	1	2	1	4,
51	52	South_Africa	1	2	0	3,
52	53	Austria	1	1	5	7,
53	54	Egypt	1	1	4	6,
54	55	Indonesia	1	1	3	5,
55	56	Portugal	1	1	2	4,
56	56	Ethiopia	1	1	2	4,
57	58	Tunisia	1	1	0	2,
58	59	Latvia	1	0	1	2,
59	59	Fiji	1	0	1	2,
60	59	Thailand	1	0	1	2,
61	59	Estonia	1	0	1	2,
62	63	Puerto_Rico	1	0	0	1,
63	63	Bermuda	1	0	0	1,
64	63	Morocco	1	0	0	1,
65	66	Colombia	0	4	1	5,
66	67	Azerbaijan	0	3	4	7,
67	68	Dominican_Republic	0	3	2	5,
68	69	Armenia	0	2	2	4,
69	70	Kyrgyz	0	2	1	3,
70	71	Mongolia	0	1	3	4,
71	72	Argentina	0	1	2	3,
72	72	San_Marino	0	1	2	3,
73	74	Nigeria	0	1	1	2,
74	74	Jordan	0	1	1	2,
75	74	Malaysia	0	1	1	2,
76	77	Bahrain	0	1	0	1,
77	77	Saudi_Arabia	0	1	0	1,
78	77	Lithuania	0	1	0	1,
79	77	North_Macedonia	0	1	0	1,
80	77	Turkmenistan	0	1	0	1,
81	77	Namibia	0	1	0	1,
82	83	Kazakhstan	0	0	8	8,
83	84	Mexico	0	0	4	4,
84	85	Finland	0	0	2	2,
85	86	Ghana	0	0	1	1,
86	86	Cote_dIvoire	0	0	1	1,
87	86	Moldova	0	0	1	1,
88	86	Botswana	0	0	1	1,
89	86	Grenada	0	0	1	1,
90	86	Burkina_Faso	0	0	1	1,
91	86	Kuwait	0	0	1	1,
92	86	Syrian_Arab_Republic	0	0	1	1,
